 Episode: 5142, Total Reward: 5.0, Steps: 344, 10-Window_Average: 2.2
 Episode: 5143, Total Reward: 2.0, Steps: 200, 10-Window_Average: 1.6
 Episode: 5144, Total Reward: 2.0, Steps: 199, 10-Window_Average: 1.5
 Episode: 5145, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.3
 Episode: 5146, Total Reward: 2.0, Steps: 198, 10-Window_Average: 1.3
 Episode: 5147, Total Reward: 1.0, Steps: 154, 10-Window_Average: 1.4
 Episode: 5148, Total Reward: 3.0, Steps: 226, 10-Window_Average: 1.7
 Episode: 5149, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.7
 Episode: 5150, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.7
 Episode: 5151, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.6
 Episode: 5152, Total Reward: 4.0, Steps: 317, 10-Window_Average: 1.5
 Episode: 5153, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.3
 Episode: 5154, Total Reward: 2.0, Steps: 220, 10-Window_Average: 1.3
 Episode: 5155, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.4
 Episode: 5156, Total Reward: 2.0, Steps: 198, 10-Window_Average: 1.4
 Episode: 5157, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.3
 Episode: 5158, Total Reward: 4.0, Steps: 265, 10-Window_Average: 1.4
 Episode: 5159, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.3
 Episode: 5160, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.4
 Episode: 5161, Total Reward: 2.0, Steps: 200, 10-Window_Average: 1.6
 Episode: 5162, Total Reward: 1.0, Steps: 153, 10-Window_Average: 1.3
 Episode: 5163, Total Reward: 3.0, Steps: 250, 10-Window_Average: 1.6
 Episode: 5164, Total Reward: 3.0, Steps: 229, 10-Window_Average: 1.7
 Episode: 5165, Total Reward: 1.0, Steps: 169, 10-Window_Average: 1.7
 Episode: 5166, Total Reward: 1.0, Steps: 169, 10-Window_Average: 1.6
 Episode: 5167, Total Reward: 1.0, Steps: 172, 10-Window_Average: 1.7
 Episode: 5168, Total Reward: 3.0, Steps: 232, 10-Window_Average: 1.6
 Episode: 5169, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.6
 Episode: 5170, Total Reward: 2.0, Steps: 183, 10-Window_Average: 1.7
 Episode: 5171, Total Reward: 5.0, Steps: 321, 10-Window_Average: 2.0
 Episode: 5172, Total Reward: 2.0, Steps: 221, 10-Window_Average: 2.1
 Episode: 5173, Total Reward: 2.0, Steps: 224, 10-Window_Average: 2.0
 Episode: 5174, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.8
 Episode: 5175, Total Reward: 2.0, Steps: 200, 10-Window_Average: 1.9
 Episode: 5176, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.9
 Episode: 5177, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.8
 Episode: 5178, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.5
 Episode: 5179, Total Reward: 1.0, Steps: 173, 10-Window_Average: 1.6
 Episode: 5180, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.4
 Episode: 5181, Total Reward: 1.0, Steps: 173, 10-Window_Average: 1.0
 Episode: 5182, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.8
 Episode: 5183, Total Reward: 3.0, Steps: 219, 10-Window_Average: 0.9
 Episode: 5184, Total Reward: 4.0, Steps: 293, 10-Window_Average: 1.2
 Episode: 5185, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.0
 Episode: 5186, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.9
 Episode: 5187, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.9
 Episode: 5188, Total Reward: 2.0, Steps: 198, 10-Window_Average: 1.1
 Episode: 5189, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.1
 Episode: 5190, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.2
 Episode: 5191, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.2
 Episode: 5192, Total Reward: 3.0, Steps: 229, 10-Window_Average: 1.5
 Episode: 5193, Total Reward: 3.0, Steps: 216, 10-Window_Average: 1.5
 Episode: 5194, Total Reward: 2.0, Steps: 199, 10-Window_Average: 1.3
 Episode: 5195, Total Reward: 2.0, Steps: 198, 10-Window_Average: 1.5
 Episode: 5196, Total Reward: 4.0, Steps: 297, 10-Window_Average: 1.9
 Episode: 5197, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.9
 Episode: 5198, Total Reward: 1.0, Steps: 168, 10-Window_Average: 1.8
 Episode: 5199, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.8
 Episode: 5200, Total Reward: 1.0, Steps: 153, 10-Window_Average: 1.8
 Episode: 5201, Total Reward: 2.0, Steps: 197, 10-Window_Average: 1.9
 Episode: 5202, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.6
 Episode: 5203, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.3
 Episode: 5204, Total Reward: 4.0, Steps: 318, 10-Window_Average: 1.5
 Episode: 5205, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.3
 Episode: 5206, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.9
 Episode: 5207, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5208, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.8
 Episode: 5209, Total Reward: 2.0, Steps: 180, 10-Window_Average: 0.9
 Episode: 5210, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.8
 Episode: 5211, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.6
 Episode: 5212, Total Reward: 2.0, Steps: 198, 10-Window_Average: 0.8
 Episode: 5213, Total Reward: 2.0, Steps: 223, 10-Window_Average: 1.0
 Episode: 5214, Total Reward: 1.0, Steps: 173, 10-Window_Average: 0.7
 Episode: 5215, Total Reward: 2.0, Steps: 223, 10-Window_Average: 0.9
 Episode: 5216, Total Reward: 2.0, Steps: 184, 10-Window_Average: 1.1
 Episode: 5217, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5218, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.1
 Episode: 5219, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5220, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.9
 Episode: 5221, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5222, Total Reward: 2.0, Steps: 185, 10-Window_Average: 0.9
 Episode: 5223, Total Reward: 1.0, Steps: 152, 10-Window_Average: 0.8
 Episode: 5224, Total Reward: 1.0, Steps: 173, 10-Window_Average: 0.8
 Episode: 5225, Total Reward: 1.0, Steps: 172, 10-Window_Average: 0.7
 Episode: 5226, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.5
 Episode: 5227, Total Reward: 2.0, Steps: 182, 10-Window_Average: 0.7
 Episode: 5228, Total Reward: 2.0, Steps: 201, 10-Window_Average: 0.9
 Episode: 5229, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5230, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5231, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.9
 Episode: 5232, Total Reward: 0.0, Steps: 122, 10-Window_Average: 0.7
 Episode: 5233, Total Reward: 2.0, Steps: 221, 10-Window_Average: 0.8
 Episode: 5234, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.7
 Episode: 5235, Total Reward: 0.0, Steps: 122, 10-Window_Average: 0.6
 Episode: 5236, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.6
 Episode: 5237, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.4
 Episode: 5238, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.2
 Episode: 5239, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.2
 Episode: 5240, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.2
 Episode: 5241, Total Reward: 1.0, Steps: 172, 10-Window_Average: 0.3
 Episode: 5242, Total Reward: 1.0, Steps: 171, 10-Window_Average: 0.4
 Episode: 5243, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.2
 Episode: 5244, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.2
 Episode: 5245, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.2
 Episode: 5246, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.2
 Episode: 5247, Total Reward: 1.0, Steps: 153, 10-Window_Average: 0.3
 Episode: 5248, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.3
 Episode: 5249, Total Reward: 2.0, Steps: 199, 10-Window_Average: 0.5
 Episode: 5250, Total Reward: 2.0, Steps: 220, 10-Window_Average: 0.7
 Episode: 5251, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.6
 Episode: 5252, Total Reward: 3.0, Steps: 264, 10-Window_Average: 0.8
 Episode: 5253, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.8
 Episode: 5254, Total Reward: 5.0, Steps: 329, 10-Window_Average: 1.3
 Episode: 5255, Total Reward: 2.0, Steps: 199, 10-Window_Average: 1.5
 Episode: 5256, Total Reward: 4.0, Steps: 291, 10-Window_Average: 1.9
 Episode: 5257, Total Reward: 1.0, Steps: 172, 10-Window_Average: 1.9
 Episode: 5258, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.9
 Episode: 5259, Total Reward: 2.0, Steps: 198, 10-Window_Average: 1.9
 Episode: 5260, Total Reward: 2.0, Steps: 223, 10-Window_Average: 1.9
 Episode: 5261, Total Reward: 1.0, Steps: 173, 10-Window_Average: 2.0
 Episode: 5262, Total Reward: 3.0, Steps: 228, 10-Window_Average: 2.0
 Episode: 5263, Total Reward: 0.0, Steps: 124, 10-Window_Average: 2.0
 Episode: 5264, Total Reward: 2.0, Steps: 180, 10-Window_Average: 1.7
 Episode: 5265, Total Reward: 2.0, Steps: 199, 10-Window_Average: 1.7
 Episode: 5266, Total Reward: 2.0, Steps: 199, 10-Window_Average: 1.5
 Episode: 5267, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.4
 Episode: 5268, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.4
 Episode: 5269, Total Reward: 2.0, Steps: 219, 10-Window_Average: 1.4
 Episode: 5270, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.3
 Episode: 5271, Total Reward: 2.0, Steps: 220, 10-Window_Average: 1.4
 Episode: 5272, Total Reward: 2.0, Steps: 183, 10-Window_Average: 1.3
 Episode: 5273, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.3
 Episode: 5274, Total Reward: 2.0, Steps: 199, 10-Window_Average: 1.3
 Episode: 5275, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5276, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.0
 Episode: 5277, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.1
 Episode: 5278, Total Reward: 3.0, Steps: 229, 10-Window_Average: 1.4
 Episode: 5279, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.3
 Episode: 5280, Total Reward: 2.0, Steps: 199, 10-Window_Average: 1.4
 Episode: 5281, Total Reward: 2.0, Steps: 201, 10-Window_Average: 1.4
 Episode: 5282, Total Reward: 2.0, Steps: 180, 10-Window_Average: 1.4
 Episode: 5283, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.4
 Episode: 5284, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.3
 Episode: 5285, Total Reward: 2.0, Steps: 201, 10-Window_Average: 1.5
 Episode: 5286, Total Reward: 5.0, Steps: 325, 10-Window_Average: 1.9
 Episode: 5287, Total Reward: 2.0, Steps: 219, 10-Window_Average: 2.0
 Episode: 5288, Total Reward: 2.0, Steps: 181, 10-Window_Average: 1.9
 Episode: 5289, Total Reward: 2.0, Steps: 220, 10-Window_Average: 2.0
 Episode: 5290, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.8
 Episode: 5291, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.7
 Episode: 5292, Total Reward: 4.0, Steps: 276, 10-Window_Average: 1.9
 Episode: 5293, Total Reward: 2.0, Steps: 181, 10-Window_Average: 2.1
 Episode: 5294, Total Reward: 1.0, Steps: 170, 10-Window_Average: 2.1
 Episode: 5295, Total Reward: 1.0, Steps: 152, 10-Window_Average: 2.0
 Episode: 5296, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.6
 Episode: 5297, Total Reward: 2.0, Steps: 200, 10-Window_Average: 1.6
 Episode: 5298, Total Reward: 2.0, Steps: 198, 10-Window_Average: 1.6
 Episode: 5299, Total Reward: 3.0, Steps: 248, 10-Window_Average: 1.7
 Episode: 5300, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.8
 Episode: 5301, Total Reward: 3.0, Steps: 228, 10-Window_Average: 2.0
 Episode: 5302, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.7
 Episode: 5303, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.5
 Episode: 5304, Total Reward: 2.0, Steps: 184, 10-Window_Average: 1.6
 Episode: 5305, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.5
 Episode: 5306, Total Reward: 2.0, Steps: 219, 10-Window_Average: 1.6
 Episode: 5307, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.5
 Episode: 5308, Total Reward: 0.0, Steps: 122, 10-Window_Average: 1.3
