episode,reward,epsilon,action_frequency
15275, 10.0, 0.01, "{0: 72, 1: 13, 2: 17, 3: 20}"
15300, 14.0, 0.01, "{0: 77, 1: 40, 2: 18, 3: 30}"
15325, 15.0, 0.01, "{0: 31, 1: 22, 2: 26, 3: 30}"
15350, 21.0, 0.01, "{0: 93, 1: 20, 2: 32, 3: 47}"
15375, 20.0, 0.01, "{0: 99, 1: 16, 2: 31, 3: 42}"
15400, 13.0, 0.01, "{0: 28, 1: 20, 2: 20, 3: 24}"
15425, 18.0, 0.01, "{0: 58, 1: 24, 2: 23, 3: 28}"
15450, 17.0, 0.01, "{0: 80, 1: 22, 2: 28, 3: 42}"
15475, 13.0, 0.01, "{0: 25, 1: 5, 2: 27, 3: 32}"
15500, 11.0, 0.01, "{0: 43, 1: 14, 2: 18, 3: 26}"
15525, 16.0, 0.01, "{0: 56, 1: 18, 2: 29, 3: 39}"
15550, 21.0, 0.01, "{0: 48, 1: 8, 2: 43, 3: 39}"
15575, 23.0, 0.01, "{0: 64, 1: 11, 2: 31, 3: 40}"
15600, 17.0, 0.01, "{0: 88, 1: 19, 2: 32, 3: 47}"
15625, 16.0, 0.01, "{0: 88, 1: 16, 2: 22, 3: 30}"
15650, 13.0, 0.01, "{0: 95, 1: 20, 2: 21, 3: 23}"
15675, 20.0, 0.01, "{0: 123, 1: 10, 2: 27, 3: 35}"
15700, 13.0, 0.01, "{0: 63, 1: 9, 2: 18, 3: 28}"
15725, 11.0, 0.01, "{0: 52, 1: 9, 2: 14, 3: 34}"
15750, 14.0, 0.01, "{0: 90, 1: 29, 2: 27, 3: 27}"
15775, 9.0, 0.01, "{0: 56, 1: 13, 2: 21, 3: 22}"
15800, 25.0, 0.01, "{0: 95, 1: 10, 2: 25, 3: 32}"
15825, 21.0, 0.01, "{0: 117, 1: 10, 2: 25, 3: 24}"
15850, 14.0, 0.01, "{0: 96, 1: 13, 2: 26, 3: 28}"
15875, 15.0, 0.01, "{0: 88, 1: 24, 2: 27, 3: 44}"
15900, 10.0, 0.01, "{0: 50, 1: 18, 2: 25, 3: 30}"
15925, 18.0, 0.01, "{0: 98, 1: 20, 2: 35, 3: 41}"
15950, 15.0, 0.01, "{0: 99, 1: 14, 2: 19, 3: 29}"
15975, 12.0, 0.01, "{0: 92, 1: 19, 2: 20, 3: 24}"
16000, 12.0, 0.01, "{0: 83, 1: 17, 2: 27, 3: 29}"
16025, 19.0, 0.01, "{0: 104, 1: 16, 2: 23, 3: 45}"
16050, 16.0, 0.01, "{0: 79, 1: 33, 2: 14, 3: 42}"
16075, 12.0, 0.01, "{0: 70, 1: 32, 2: 21, 3: 22}"
16100, 12.0, 0.01, "{0: 78, 1: 24, 2: 20, 3: 29}"
16125, 19.0, 0.01, "{0: 118, 1: 23, 2: 13, 3: 20}"
16150, 11.0, 0.01, "{0: 82, 1: 18, 2: 14, 3: 29}"
16175, 17.0, 0.01, "{0: 56, 1: 24, 2: 28, 3: 44}"
16200, 11.0, 0.01, "{0: 94, 1: 13, 2: 14, 3: 22}"
16225, 21.0, 0.01, "{0: 91, 1: 13, 2: 24, 3: 36}"
16250, 25.0, 0.01, "{0: 95, 1: 18, 2: 29, 3: 32}"
16275, 23.0, 0.01, "{0: 129, 1: 15, 2: 21, 3: 27}"
16300, 16.0, 0.01, "{0: 101, 1: 21, 2: 17, 3: 23}"
16325, 16.0, 0.01, "{0: 94, 1: 13, 2: 22, 3: 32}"
16350, 12.0, 0.01, "{0: 95, 1: 15, 2: 15, 3: 28}"
16375, 13.0, 0.01, "{0: 76, 1: 9, 2: 14, 3: 28}"
16400, 11.0, 0.01, "{0: 69, 1: 14, 2: 21, 3: 22}"
16425, 12.0, 0.01, "{0: 75, 1: 13, 2: 22, 3: 40}"
16450, 21.0, 0.01, "{0: 93, 1: 22, 2: 25, 3: 37}"
16475, 19.0, 0.01, "{0: 82, 1: 10, 2: 19, 3: 27}"
16500, 4.0, 0.01, "{0: 29, 1: 10, 2: 10, 3: 19}"
16525, 9.0, 0.01, "{0: 64, 1: 15, 2: 12, 3: 27}"
16550, 11.0, 0.01, "{0: 67, 1: 35, 2: 17, 3: 28}"
16575, 18.0, 0.01, "{0: 86, 1: 17, 2: 18, 3: 33}"
16600, 11.0, 0.01, "{0: 75, 1: 10, 2: 9, 3: 22}"
16625, 20.0, 0.01, "{0: 97, 1: 32, 2: 23, 3: 39}"
16650, 13.0, 0.01, "{0: 92, 1: 19, 2: 30, 3: 32}"
16675, 13.0, 0.01, "{0: 90, 1: 11, 2: 24, 3: 21}"
16700, 6.0, 0.01, "{0: 41, 1: 14, 2: 14, 3: 26}"
16725, 11.0, 0.01, "{0: 85, 1: 25, 2: 13, 3: 31}"
16750, 10.0, 0.01, "{0: 81, 1: 21, 2: 9, 3: 19}"
16775, 17.0, 0.01, "{0: 79, 1: 13, 2: 26, 3: 35}"
16800, 16.0, 0.01, "{0: 77, 1: 17, 2: 27, 3: 32}"
16825, 10.0, 0.01, "{0: 56, 1: 21, 2: 18, 3: 21}"
16850, 17.0, 0.01, "{0: 113, 1: 12, 2: 26, 3: 23}"
16875, 8.0, 0.01, "{0: 62, 1: 13, 2: 12, 3: 21}"
16900, 13.0, 0.01, "{0: 70, 1: 15, 2: 23, 3: 28}"
16925, 16.0, 0.01, "{0: 101, 1: 20, 2: 22, 3: 29}"
16950, 10.0, 0.01, "{0: 80, 1: 9, 2: 15, 3: 25}"
16975, 11.0, 0.01, "{0: 59, 1: 21, 2: 19, 3: 38}"
17000, 10.0, 0.01, "{0: 79, 1: 10, 2: 13, 3: 21}"
17025, 13.0, 0.01, "{0: 62, 1: 12, 2: 28, 3: 26}"
17050, 4.0, 0.01, "{0: 45, 1: 8, 2: 5, 3: 8}"
17075, 10.0, 0.01, "{0: 68, 1: 8, 2: 17, 3: 26}"
17100, 15.0, 0.01, "{0: 72, 1: 10, 2: 25, 3: 32}"
17125, 17.0, 0.01, "{0: 65, 1: 7, 2: 27, 3: 31}"
17150, 10.0, 0.01, "{0: 68, 1: 13, 2: 19, 3: 24}"
17175, 10.0, 0.01, "{0: 74, 1: 9, 2: 15, 3: 28}"
17200, 23.0, 0.01, "{0: 84, 1: 22, 2: 36, 3: 42}"
17225, 16.0, 0.01, "{0: 94, 1: 15, 2: 24, 3: 43}"
17250, 12.0, 0.01, "{0: 107, 1: 15, 2: 15, 3: 20}"
17275, 12.0, 0.01, "{0: 92, 1: 5, 2: 7, 3: 20}"
17300, 9.0, 0.01, "{0: 63, 1: 10, 2: 14, 3: 24}"
17325, 16.0, 0.01, "{0: 92, 1: 18, 2: 22, 3: 49}"
17350, 8.0, 0.01, "{0: 72, 1: 9, 2: 8, 3: 21}"
17375, 7.0, 0.01, "{0: 74, 1: 7, 2: 8, 3: 17}"
17400, 9.0, 0.01, "{0: 75, 1: 5, 2: 11, 3: 19}"
17425, 12.0, 0.01, "{0: 88, 1: 19, 2: 17, 3: 32}"
17450, 11.0, 0.01, "{0: 80, 1: 15, 2: 19, 3: 22}"
17475, 10.0, 0.01, "{0: 85, 1: 11, 2: 18, 3: 22}"
17500, 13.0, 0.01, "{0: 83, 1: 13, 2: 19, 3: 46}"
17525, 7.0, 0.01, "{0: 66, 1: 9, 2: 12, 3: 19}"
17550, 11.0, 0.01, "{0: 73, 1: 18, 2: 20, 3: 23}"
17575, 15.0, 0.01, "{0: 87, 1: 14, 2: 14, 3: 23}"
17600, 13.0, 0.01, "{0: 58, 1: 12, 2: 22, 3: 36}"
17625, 13.0, 0.01, "{0: 61, 1: 9, 2: 22, 3: 28}"
17650, 17.0, 0.01, "{0: 71, 1: 12, 2: 30, 3: 24}"
17675, 7.0, 0.01, "{0: 63, 1: 6, 2: 11, 3: 14}"
17700, 10.0, 0.01, "{0: 87, 1: 10, 2: 12, 3: 13}"
17725, 12.0, 0.01, "{0: 79, 1: 7, 2: 11, 3: 21}"
17750, 13.0, 0.01, "{0: 92, 1: 15, 2: 18, 3: 26}"
17775, 13.0, 0.01, "{0: 81, 1: 14, 2: 23, 3: 31}"
17800, 17.0, 0.01, "{0: 122, 1: 26, 2: 23, 3: 32}"
17825, 12.0, 0.01, "{0: 79, 1: 20, 2: 23, 3: 24}"
17850, 5.0, 0.01, "{0: 45, 1: 9, 2: 8, 3: 12}"
17875, 11.0, 0.01, "{0: 54, 1: 13, 2: 16, 3: 19}"
