date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-15:05:21,5106,8457,7.0,29496,110,0.029401,-1895.525390625,-1854.53564453125,0.4413333333333336
2022/12/26-15:05:24,5107,8566,9.0,29502,116,0.033930,-1895.197265625,-1854.53564453125,0.4424166666666668
2022/12/26-15:05:25,5108,8604,4.0,29501,73,0.021641,-1895.6131591796875,-1854.53564453125,0.4413333333333336
2022/12/26-15:05:29,5109,8796,8.0,29497,109,0.035776,-1897.484619140625,-1854.53564453125,0.444
2022/12/26-15:05:29,5110,8796,3.0,29500,65,0.026525,-1897.484619140625,-1854.53564453125,0.44183333333333347
2022/12/26-15:05:32,5111,8889,8.0,29498,103,0.025727,-1897.2144775390625,-1854.53564453125,0.4424166666666668
2022/12/26-15:05:35,5112,8989,12.0,29499,159,0.039289,-1896.3223876953125,-1854.53564453125,0.4445833333333332
2022/12/26-15:05:35,5113,9004,3.0,29502,57,0.033259,-1895.9874267578125,-1854.53564453125,0.44183333333333347
2022/12/26-15:05:36,5114,9042,3.0,29501,59,0.021269,-1896.33544921875,-1854.53564453125,0.44066666666666693
2022/12/26-15:05:36,5115,9065,6.0,29495,93,0.027510,-1895.6546630859375,-1854.53564453125,0.44183333333333347
2022/12/26-15:05:37,5116,9072,5.0,29496,77,0.027992,-1895.631591796875,-1854.53564453125,0.44066666666666693
2022/12/26-15:05:39,5117,9185,2.0,29497,54,0.035108,-1894.1480712890625,-1854.53564453125,0.4435
2022/12/26-15:05:40,5118,9253,3.0,29500,58,0.025507,-1893.340087890625,-1854.53564453125,0.44125000000000014
2022/12/26-15:05:45,5119,9435,2.0,29502,52,0.033331,-1894.635498046875,-1854.53564453125,0.44125000000000014
2022/12/26-15:05:46,5120,9458,4.0,29498,69,0.026663,-1895.3624267578125,-1854.53564453125,0.44183333333333347
2022/12/26-15:05:46,5121,9474,3.0,29499,60,0.038058,-1895.176513671875,-1854.53564453125,0.44416666666666654
2022/12/26-15:05:48,5122,9549,3.0,29501,64,0.022592,-1897.533935546875,-1854.53564453125,0.4400000000000003
2022/12/26-15:05:49,5123,9590,3.0,29496,61,0.028265,-1898.5675048828125,-1854.53564453125,0.4400000000000003
2022/12/26-15:05:51,5124,9686,2.0,29500,56,0.025446,-1898.3880615234375,-1854.53564453125,0.4406666666666668
2022/12/26-15:05:53,5125,9768,5.0,29497,76,0.033635,-1896.3741455078125,-1854.53564453125,0.443
2022/12/26-15:05:57,5126,9921,7.0,29495,103,0.026324,-1891.9637451171875,-1854.53564453125,0.44125000000000014
2022/12/26-15:05:59,5127,9969,3.0,29499,60,0.037277,-1891.825439453125,-1854.53564453125,0.44374999999999987
2022/12/26-15:06:04,5128,10196,5.0,29502,92,0.033083,-1897.519775390625,-1854.53564453125,0.4406666666666668
2022/12/26-15:06:06,5129,10252,6.0,29501,94,0.023601,-1898.115478515625,-1854.53564453125,0.43933333333333363
